Date,Raw_Cotton_Price,Open,High,Low,Vol.,Change %
11/1/2023,79.44,81.38,81.38,79.3,32.22K,-2.19%
10/31/2023,81.22,82.95,83.1,81.15,26.78K,-2.04%
10/30/2023,82.91,84.38,85.25,82.79,19.83K,-1.74%
10/27/2023,84.38,84.78,85.44,83.83,17.15K,-0.25%
10/26/2023,84.59,83.76,85.2,83.51,19.47K,0.93%
10/25/2023,83.81,82.78,84.16,82.73,14.63K,1.06%
10/24/2023,82.93,83.73,84.44,82.57,19.57K,-0.96%
10/23/2023,83.73,82.29,84.9,81.68,33.19K,1.61%
10/20/2023,82.4,84.11,84.13,81.51,31.37K,-2.22%
10/19/2023,84.27,84.18,84.39,82.41,20.51K,0.04%
10/18/2023,84.24,83.31,84.5,82.01,35.02K,1.21%
10/17/2023,83.23,85.15,85.15,82.97,32.47K,-2.25%
10/16/2023,85.15,86.2,86.23,84.58,23.44K,-1.06%
10/13/2023,86.06,85.1,86.49,84.73,19.83K,1.34%
10/12/2023,84.92,85.01,85.7,84.14,22.99K,-0.15%
10/11/2023,85.05,85.5,86.15,84.38,28.53K,-0.47%
10/10/2023,85.45,87.1,87.37,85.36,27.44K,-1.41%
10/9/2023,86.67,87.31,88.76,86.78,23.37K,-0.21%
10/6/2023,86.85,86.6,87.5,86.55,12.96K,0.70%
10/5/2023,86.25,87.01,88.06,86.45,19.27K,-0.54%
10/4/2023,86.72,87.74,87.93,86.64,12.11K,-0.48%
10/3/2023,87.14,87.75,87.84,87.04,12.16K,-0.37%
10/2/2023,87.46,87.3,87.96,86.7,15.50K,0.69%
9/29/2023,86.86,90.75,90.75,85.21,0.02K,-2.11%
9/28/2023,88.73,89.2,89.2,89.2,0.00K,0.37%
9/27/2023,88.4,88,89.45,87.76,22.88K,0.25%
9/26/2023,88.18,88,88.81,87.2,22.83K,2.04%
9/25/2023,86.42,85.91,88.33,85.8,22.90K,2.83%
9/22/2023,84.04,84.87,84.87,84.87,0.01K,-0.98%
9/21/2023,84.87,85,85.02,84.7,0.01K,-0.59%
9/20/2023,85.37,85.73,85.73,85.35,0.01K,-0.80%
9/19/2023,86.06,86.53,86.53,86.53,0.01K,0.61%
9/18/2023,85.54,85.78,85.97,85.78,0.01K,0.18%
9/15/2023,85.39,86.75,86.75,85.2,0.02K,-1.25%
9/14/2023,86.47,86.4,86.4,86.06,0.01K,0.93%
9/13/2023,85.67,86.71,86.71,85.06,0.02K,-2.08%
9/12/2023,87.49,87.41,87.65,86.21,0.02K,0.60%
9/11/2023,86.97,86.25,87.45,86.13,0.01K,3.03%
9/8/2023,84.41,83.61,84.8,83.61,0.01K,0.94%
9/7/2023,83.62,85.57,85.57,83.41,0.02K,-2.77%
9/6/2023,86,87,87,86,0.01K,-2.27%
9/5/2023,88,88.64,88.64,86.79,0.03K,-1.80%
9/1/2023,89.61,88.79,90.14,88.4,0.04K,1.71%
8/31/2023,88.1,87.95,88.55,87.81,0.01K,-0.20%
8/30/2023,88.28,87.84,88.3,87.18,0.03K,1.37%
8/29/2023,87.09,86.4,86.82,86.4,0.00K,0.02%
8/28/2023,87.07,87.06,87.1,87.06,0.00K,-0.50%
8/25/2023,87.51,86.05,87.68,86.05,0.01K,1.65%
8/24/2023,86.09,86.77,86.94,85.99,0.07K,-0.14%
8/23/2023,86.21,86.08,86.24,84.93,0.02K,1.44%
8/22/2023,84.99,84.9,84.9,84.61,0.00K,0.63%
8/21/2023,84.46,85.54,85.57,85.54,0.00K,0.17%
8/18/2023,84.32,85.15,85.16,84.53,0.01K,-0.05%
8/17/2023,84.36,85.1,85.1,84.78,0.01K,-1.13%
8/16/2023,85.32,86.07,86.07,85.27,0.02K,-1.02%
8/15/2023,86.2,86.58,86.58,85.84,0.01K,-1.65%
8/14/2023,87.65,88.6,88.6,86.69,0.01K,-1.84%
8/11/2023,89.29,87.31,90.16,87.04,0.01K,2.29%
8/10/2023,87.29,86.67,87.68,86.67,0.02K,1.37%
8/9/2023,86.11,85.43,85.43,85.43,0.00K,-0.10%
8/8/2023,86.2,85.5,86.18,85.26,0.01K,-0.21%
8/7/2023,86.38,84.34,85.9,84.27,17.08K,1.30%
8/4/2023,85.27,85,86.05,85,0.01K,-0.01%
8/3/2023,85.28,84.94,85.25,83.85,0.02K,0.24%
8/2/2023,85.08,85.83,85.87,84.8,0.01K,-2.06%
8/1/2023,86.87,86.6,86.68,85.95,0.01K,1.67%
7/31/2023,85.44,85.04,87.2,84.5,0.03K,0.45%
7/28/2023,85.06,87.82,87.85,85.02,0.07K,-1.80%
7/27/2023,86.62,89.76,89.76,86.23,0.07K,-3.73%
7/26/2023,89.98,88.24,90.33,87.9,0.03K,1.61%
7/25/2023,88.55,86.18,88.68,86.05,0.05K,3.47%
7/24/2023,85.58,84.76,85.8,84.76,0.07K,0.59%
7/21/2023,85.08,86.88,86.9,84.25,0.05K,-0.99%
7/20/2023,85.93,86.32,86.32,85.93,0.00K,0.36%
7/19/2023,85.62,84.2,86.07,84.2,0.02K,2.20%
7/18/2023,83.78,83.9,84.5,83.45,0.01K,0.35%
7/17/2023,83.49,82.27,83.29,82.27,0.00K,1.00%
7/14/2023,82.66,82.48,85.24,82.16,0.26K,-0.16%
7/13/2023,82.79,82.33,82.66,82.11,0.23K,0.34%
7/12/2023,82.51,83.53,83.97,82.26,0.02K,-0.53%
7/11/2023,82.95,82.88,82.95,81.83,0.02K,3.75%
7/10/2023,79.95,80.76,80.76,80.42,0.00K,-1.54%
7/7/2023,81.2,83.1,84.12,81.19,0.10K,-2.03%
7/6/2023,82.88,80.83,84,80.83,0.06K,0.52%
7/5/2023,82.45,84,84,84,0.00K,-1.17%
7/3/2023,83.43,83.29,83.3,83.29,0.00K,0.71%
6/30/2023,82.84,79.8,82.21,79.8,0.05K,1.96%
6/29/2023,81.25,78.1,80.1,77.29,0.02K,1.41%
6/28/2023,80.12,76.19,78.22,76.19,0.09K,3.19%
6/27/2023,77.64,79.56,79.63,79.56,0.04K,0.74%
6/26/2023,77.07,80.85,80.85,80.55,0.12K,-1.27%
6/23/2023,78.06,79.6,79.71,76.91,2.50K,-1.55%
6/22/2023,79.29,79.1,79.94,78,4.44K,-0.03%
6/21/2023,79.31,80.66,80.92,79.2,6.17K,-1.67%
6/20/2023,80.66,81.65,81.78,80.51,6.75K,-0.98%
6/16/2023,81.46,80.53,81.98,80.53,6.83K,1.02%
6/15/2023,80.64,82.05,82.06,80.5,7.68K,-1.41%
6/14/2023,81.79,82.72,82.9,81.7,7.33K,-1.12%
6/13/2023,82.72,83.53,84.27,82.6,11.12K,-0.92%
6/12/2023,83.49,84.1,84.1,83.08,14.45K,-0.65%
6/9/2023,84.04,84.31,84.63,83.77,20.29K,-0.32%
6/8/2023,84.31,85,86.96,84.11,27.98K,-0.82%
6/7/2023,85.01,85.33,85.5,84.06,20.25K,-0.39%
6/6/2023,85.34,84.69,85.71,84.48,17.01K,0.65%
6/5/2023,84.79,85.99,86.45,84.38,20.75K,-1.46%
6/2/2023,86.05,86.42,87.16,85.5,16.76K,-0.43%
6/1/2023,86.42,83.77,86.89,83.55,26.19K,3.52%
5/31/2023,83.48,84.49,84.49,82.56,19.75K,-0.61%
5/30/2023,83.99,83.64,86.54,82.76,26.84K,0.77%
5/26/2023,83.35,80.11,83.74,80.11,29.56K,4.03%
5/25/2023,80.12,81.71,82.78,79.86,25.93K,-1.96%
5/24/2023,81.72,84.35,84.4,81.4,22.72K,-3.12%
5/23/2023,84.35,85.32,85.66,83.86,15.48K,-1.14%
5/22/2023,85.32,86.72,87.25,84.61,20.54K,-1.61%
5/19/2023,86.72,86.3,87.98,86.13,23.93K,0.07%
5/18/2023,86.66,86.5,87.16,85.62,32.32K,-0.32%
5/17/2023,86.94,83.2,87,82.84,41.23K,4.27%
5/16/2023,83.38,82.35,83.97,81.5,20.90K,1.23%
5/15/2023,82.37,80.54,83.24,80.53,17.25K,2.28%
5/12/2023,80.53,79.6,81.76,79.6,16.11K,1.14%
5/11/2023,79.62,80.73,81.24,79.52,17.79K,-1.41%
5/10/2023,80.76,80.96,81.6,80.2,14.46K,-0.28%
5/9/2023,80.99,83.18,83.18,80.4,21.70K,-0.66%
5/8/2023,81.53,83.9,84.87,83.05,16.34K,-0.73%
5/5/2023,82.13,83.5,83.5,83.5,0.04K,2.68%
5/4/2023,79.99,79,81.76,78.93,23.68K,3.90%
5/3/2023,76.99,80.72,80.79,78.56,16.39K,-2.05%
5/2/2023,78.6,81.31,82.33,80.16,14.05K,-1.18%
5/1/2023,79.54,80.55,81.58,79.91,11.48K,0.65%
4/28/2023,79.03,80.82,80.82,80.82,0.00K,0.51%
4/27/2023,78.63,78.75,81.1,78.12,19.24K,2.77%
4/26/2023,76.51,78.6,79.88,78.09,16.06K,-0.64%
4/25/2023,77,76.22,76.22,76.22,0.01K,-2.51%
4/24/2023,78.98,80.96,81.45,79.65,0.31K,0.73%
4/21/2023,78.41,79.19,79.97,78.42,1.59K,-1.05%
4/20/2023,79.24,83.12,83.25,79.24,5.55K,-4.81%
4/19/2023,83.24,84.5,84.93,83.1,5.73K,-1.55%
4/18/2023,84.55,83.3,84.93,83.2,10.08K,1.50%
4/17/2023,83.3,82.89,83.96,82.65,12.61K,0.53%
4/14/2023,82.86,83.32,83.77,82.76,18.25K,-0.59%
4/13/2023,83.35,82.5,83.81,82.25,23.17K,1.09%
4/12/2023,82.45,82.69,83.17,82.04,23.94K,-0.36%
4/11/2023,82.75,82.33,83.07,81.9,20.09K,0.36%
4/10/2023,82.45,83,83.63,82.33,19.61K,-0.90%
4/6/2023,83.2,81.45,83.43,81.2,25.57K,2.63%
4/5/2023,81.07,81,81.97,80.51,13.54K,0.02%
4/4/2023,81.05,82.38,83,80.22,17.75K,-1.61%
4/3/2023,82.38,83.38,83.64,81.88,15.89K,-0.48%
3/31/2023,82.78,83.64,83.69,82.26,16.29K,-0.86%
3/30/2023,83.5,82.68,83.95,82.05,16.77K,0.89%
3/29/2023,82.76,82.52,83.42,81.31,22.29K,0.29%
3/28/2023,82.52,79.66,82.52,79.66,21.28K,3.77%
3/27/2023,79.52,76.84,79.54,76.55,18.67K,3.89%
3/24/2023,76.54,77.54,77.86,75.7,17.86K,-1.34%
3/23/2023,77.58,78.2,79.47,77.15,13.79K,-0.89%
3/22/2023,78.28,78.01,79.8,77.78,13.92K,0.55%
3/21/2023,77.85,77.3,79.16,77.22,14.04K,0.82%
3/20/2023,77.22,77.6,79.49,76.68,17.45K,-0.78%
3/17/2023,77.83,79.1,79.32,76.86,17.53K,-1.68%
3/16/2023,79.16,79.25,79.87,77.55,20.98K,0.06%
3/15/2023,79.11,81.3,81.73,78.22,21.83K,-2.78%
3/14/2023,81.37,80.6,82.49,80.3,20.01K,0.23%
3/13/2023,81.18,78.69,81.18,77.95,34.65K,3.84%
3/10/2023,78.18,82.2,82.25,78.18,37.57K,-5.01%
3/9/2023,82.3,82.62,83.72,81.81,15.57K,-0.53%
3/8/2023,82.74,82.92,83.48,82.16,15.01K,-0.18%
3/7/2023,82.89,83.12,83.12,83.12,0.00K,-2.32%
3/6/2023,84.86,84.18,85.38,83.28,13.59K,0.58%
3/3/2023,84.37,84.3,84.3,84.3,0.00K,1.83%
3/2/2023,82.85,85.5,86.25,83.11,20.41K,-2.03%
3/1/2023,84.57,84.03,86.08,83.8,17.27K,0.45%
2/28/2023,84.19,84.75,84.75,83.75,0.00K,-0.95%
2/27/2023,85,84.9,85,83.3,13.87K,-0.15%
2/24/2023,85.13,82,82.6,82,0.01K,3.30%
2/23/2023,82.41,83.06,83.06,82,0.02K,0.19%
2/22/2023,82.25,81.87,82.78,81.87,0.09K,1.64%
2/21/2023,80.92,80.36,83.5,79.8,4.28K,0.83%
2/17/2023,80.25,81.25,81.75,80,6.55K,-1.23%
2/16/2023,81.25,82.5,83.79,81,7.68K,-1.57%
2/15/2023,82.55,85.25,85.5,82.03,14.28K,-3.34%
2/14/2023,85.4,85.5,85.9,84.4,9.37K,-0.28%
2/13/2023,85.64,85.15,86.73,84.53,16.69K,0.43%
2/10/2023,85.27,85.3,85.65,84.26,17.70K,-0.27%
2/9/2023,85.5,85.32,86.3,85.1,27.19K,0.15%
2/8/2023,85.37,85.61,85.89,84.14,23.42K,-0.30%
2/7/2023,85.63,83.27,86.99,83.27,32.55K,2.83%
2/6/2023,83.27,85.13,85.6,83.07,22.34K,-2.53%
2/3/2023,85.43,86.15,86.45,85.05,17.02K,-1.11%
2/2/2023,86.39,85.8,87.29,85.43,16.55K,0.91%
2/1/2023,85.61,86.01,87,85.3,17.24K,-0.71%
1/31/2023,86.22,85.3,86.85,85.01,22.41K,1.32%
1/30/2023,85.1,87.25,87.4,84.5,18.48K,-2.06%
1/27/2023,86.89,87.35,87.56,86.11,10.05K,-0.70%
1/26/2023,87.5,86.8,88.88,86.63,17.02K,0.97%
1/25/2023,86.66,86.16,87.5,85.12,12.76K,0.49%
1/24/2023,86.24,87.32,87.32,85.63,13.36K,-1.32%
1/23/2023,87.39,86.7,88.68,85.8,22.81K,0.80%
1/20/2023,86.7,83.58,86.79,83.57,19.41K,3.97%
1/19/2023,83.39,84.8,85.64,83.23,18.15K,-1.67%
1/18/2023,84.81,82.86,86.3,82.86,21.39K,2.40%
1/17/2023,82.82,82.4,83.22,81.97,14.29K,0.64%
1/13/2023,82.29,82,83.4,81.65,18.13K,0.30%
1/12/2023,82.04,84.4,84.87,81.85,19.97K,-2.63%
1/11/2023,84.26,84.61,85.84,83.4,14.88K,-0.59%
1/10/2023,84.76,86,86.15,84.3,14.17K,-1.69%
1/9/2023,86.22,85.67,87.97,84.58,21.88K,0.63%
1/6/2023,85.68,82.58,86.1,82.11,16.47K,3.75%
1/5/2023,82.58,80.51,83.73,80.5,16.64K,2.66%
1/4/2023,80.44,83.17,84.25,80.37,18.86K,-3.25%
1/3/2023,83.14,83.37,85.85,82.8,13.02K,-0.28%
